id,BIO_anno
0,O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-PRODUCT O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O I-COMMENTS_ADJ O B-BANK I-BANK O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ O O O O O O O O O O
1,O O O O O O O O O B-BANK I-BANK O O O O O O O
2,O O O O O O O O O B-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O O O O O O
3,O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O O O
4,O O O O O O B-BANK I-BANK O O O O
5,O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O
6,O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O
7,O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O
8,O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O
9,O O O O O I-COMMENTS_ADJ O O O O B-BANK I-BANK O
10,B-COMMENTS_N I-COMMENTS_N O O O B-BANK I-BANK O O O B-COMMENTS_ADJ I-COMMENTS_ADJ
11,O O O O O O O O B-PRODUCT I-PRODUCT B-PRODUCT I-PRODUCT O B-PRODUCT O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-PRODUCT I-PRODUCT O O O
12,O O O O O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O I-BANK O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O
13,O O I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT I-PRODUCT O O
14,O O B-BANK I-BANK O O O O O
15,O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O I-COMMENTS_ADJ
16,O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
17,O O O O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK O O O O O O O
18,O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ
19,O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O B-PRODUCT I-PRODUCT O O O O O
20,B-COMMENTS_ADJ I-COMMENTS_ADJ B-PRODUCT O O O O O O O O O O O O O O O
21,O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O
22,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N O O O
